serial_number,has_failed,alarm_triggered,first_alarm_date,actual_failure_date,days_to_failure_at_alarm,category,is_hit,is_fp_early,is_fp_cens,is_false_alarm,is_miss,is_correct_rejection,max_predicted_score,alarm_predicted_score,first_seen_date,days_since_observed
2AGMHY3Y,1,0,,2025-11-18,,Missed,0,0,0,0,1,0,0.027986953034996986,,2019-08-14,
2AGMHY5Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0014851331943646073,,2019-08-13,
2AGMJ35Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0014431633753702044,,2019-05-04,
2AGMJ3JY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0015032027149572968,,2019-05-16,
2AGMJ3TY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.001082729664631188,,2019-08-14,
2AGMJ47Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0009751804172992706,,2019-06-01,
2AGMJ5BY,1,0,,2021-05-03,,Missed,0,0,0,0,1,0,0.00018215319141745567,,2019-05-04,
2AGMKV4Y,1,1,2026-01-20,2026-01-28,8.0,On time,1,0,0,0,0,0,0.5156230330467224,0.37579968571662903,2019-05-04,2453.0
2AGMKVHY,1,0,,2023-05-06,,Missed,0,0,0,0,1,0,0.09653327614068985,,2019-08-13,
2AGMKVTY,1,0,,2024-12-04,,Missed,0,0,0,0,1,0,0.08382441103458405,,2019-08-14,
2AGMLMLY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.03974716737866402,,2019-08-14,
2AGMLSZY,1,1,2020-07-24,2020-07-30,6.0,On time,1,0,0,0,0,0,0.520643413066864,0.4054509401321411,2019-05-16,435.0
2AGMLT7Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.015290378592908382,,2019-05-16,
2AGMLWNY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.03356018662452698,,2019-08-14,
2AGMLZLY,1,0,,2026-02-11,,Missed,0,0,0,0,1,0,0.12081468105316162,,2019-05-16,
2AGMM0UY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.04955817386507988,,2019-05-16,
2AGMMNKY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.01750420220196247,,2019-06-01,
2AGMMU1Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.001159795792773366,,2019-05-16,
2AGMMU4Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0021384309511631727,,2019-08-14,
2AGMNB7Y,1,0,,2023-03-30,,Missed,0,0,0,0,1,0,0.09324683994054794,,2019-05-16,
2AGMNBEY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.001268880907446146,,2019-05-16,
2AGMND4Y,1,1,2025-10-23,2025-10-27,4.0,On time,1,0,0,0,0,0,0.5063795447349548,0.3508734703063965,2019-05-04,2364.0
2AGMNE1Y,1,1,2025-11-26,2025-11-26,0.0,On time,1,0,0,0,0,0,0.5197337865829468,0.5197337865829468,2019-05-16,2386.0
2AGMNEBY,1,0,,2024-08-05,,Missed,0,0,0,0,1,0,0.14549358189105988,,2019-05-04,
2AGMNG0Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.13057304918766022,,2019-05-16,
2AGMNJKY,1,0,,2025-09-29,,Missed,0,0,0,0,1,0,0.11976423859596252,,2019-05-16,
2AGMNM8Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.053699154406785965,,2019-08-14,
2AGMNMWY,1,0,,2023-05-10,,Missed,0,0,0,0,1,0,0.044852364808321,,2019-05-16,
2AGMNTXY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0017223908798769116,,2019-05-16,
2AGMNUVY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0010286556789651513,,2019-05-04,
2AGMNWBY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0011217655846849084,,2019-08-13,
2AGMNXRY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.06830698251724243,,2019-08-13,
2AGMP7ZY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0016823065234348178,,2019-08-14,
2AGMPBWY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.047618113458156586,,2019-05-16,
2AGMPD8Y,1,0,,2023-11-21,,Missed,0,0,0,0,1,0,0.0003938778827432543,,2019-08-13,
2AGMPK3Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.033108826726675034,,2019-05-04,
2AGMPL7Y,1,0,,2025-02-27,,Missed,0,0,0,0,1,0,0.08321712911128998,,2019-05-16,
2AGMPP1Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.004463717807084322,,2019-05-16,
2AGMPP4Y,1,1,2025-09-12,2025-09-23,11.0,On time,1,0,0,0,0,0,0.5096092820167542,0.3432600200176239,2019-05-16,2311.0
2AGMPPGY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0018286015838384628,,2019-05-16,
2AGMPSSY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.001319889910519123,,2019-05-16,
2AGMPT2Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.001824285602197051,,2019-05-16,
2AGMPZ8Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0009485308546572924,,2019-08-14,
2AGMS6PY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.000521163921803236,,2019-08-14,
2AGMSHHY,1,0,,2022-08-12,,Missed,0,0,0,0,1,0,0.00017888820730149746,,2019-05-04,
2AGMTK0Y,1,1,2025-08-30,2025-08-30,0.0,On time,1,0,0,0,0,0,0.5179929733276367,0.5179929733276367,2019-05-16,2298.0
2AGMTL0Y,1,0,,2023-04-17,,Missed,0,0,0,0,1,0,0.000816053943708539,,2019-05-04,
2AGMTXAY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0013073500012978911,,2019-08-13,
2AGMUBMY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0012193558504804969,,2019-06-01,
2AGMUBRY,1,0,,2024-08-04,,Missed,0,0,0,0,1,0,0.00704434048384428,,2019-08-13,
2AGMV9UY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0016196080250665545,,2019-08-13,
2AGMVDDY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0015567332739010453,,2019-05-16,
2AGMWHVY,1,0,,2024-07-19,,Missed,0,0,0,0,1,0,0.06727587431669235,,2019-05-16,
2AGMZLMY,1,0,,2023-05-16,,Missed,0,0,0,0,1,0,0.1129395067691803,,2019-08-13,
2AGN038Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0009019123972393572,,2019-08-13,
2AGN03MY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.004404052160680294,,2019-08-13,
2AGN05MY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0009062383905984461,,2019-08-13,
2AGN071Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.007679300382733345,,2019-08-13,
2AGN07AY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0027807848528027534,,2019-08-14,
2AGN17RY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0005930702318437397,,2019-08-13,
2AGN1YNY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0023646499030292034,,2019-08-14,
2AGN29AY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0006674022297374904,,2019-08-14,
2AGN43EY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0833071768283844,,2019-08-13,
2AGN5A3Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0010205304715782404,,2019-06-01,
2AGN7GZY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0004891833523288369,,2019-08-13,
2AGN7XVY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.05076966807246208,,2019-08-14,
2AGN7XYY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.023273929953575134,,2019-05-27,
2AGN853Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0008340802160091698,,2019-08-14,
2AGN8H9Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0007989442092366517,,2019-08-14,
2AGN8Y9Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.019288070499897003,,2019-08-13,
2AGN8ZGY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.005274494178593159,,2019-06-01,
2AGN90RY,1,0,,2023-12-07,,Missed,0,0,0,0,1,0,0.07686468958854675,,2019-08-14,
2AGN9N4Y,1,0,,2025-03-06,,Missed,0,0,0,0,1,0,0.12083464860916138,,2019-08-13,
2AGNAK7Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0007912426954135299,,2019-08-14,
2AGNAKGY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0017661661840975285,,2019-08-14,
2AGNAYKY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0009728094446472824,,2019-08-13,
2AGNBWPY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0016828167717903852,,2019-08-13,
2AGND0EY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.015621437691152096,,2019-08-13,
2AGNEAHY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0020975139923393726,,2019-08-13,
2AGNEK5Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.011964604258537292,,2019-08-14,
2AGNEN9Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0027973318938165903,,2019-08-14,
2AGNEREY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.015549172647297382,,2019-08-13,
2AGNGZPY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0012833867222070694,,2019-05-27,
2AGNJE2Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.003775996156036854,,2019-06-01,
2AGNJG7Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0015980631578713655,,2019-08-13,
2AGNJGHY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.00280042365193367,,2019-08-13,
2AGNJRYY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0008363233646377921,,2019-06-01,
2AGNJTAY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0011615399271249771,,2019-08-14,
2AGNJTRY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0009701885865069926,,2019-08-14,
2AGNKB9Y,1,0,,2023-11-29,,Missed,0,0,0,0,1,0,0.001474057324230671,,2019-08-13,
2AGNKGXY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0010203000856563449,,2019-08-14,
2AGNKNJY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.004649823531508446,,2019-08-14,
2AGNKSPY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.006681581027805805,,2019-08-14,
2AGNKV4Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0018008436309173703,,2019-08-13,
2AGNL61Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0012126814108341932,,2019-05-16,
2AGNNTHY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.021602196618914604,,2019-05-16,
2AGNT47Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0009679247159510851,,2019-05-16,
2AGP393Y,1,0,,2023-04-06,,Missed,0,0,0,0,1,0,0.32455384731292725,,2019-06-01,
2AGP43EY,1,0,,2024-09-01,,Missed,0,0,0,0,1,0,0.028284912928938866,,2019-05-16,
2AGP5EDY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0010819424642249942,,2019-05-16,
2AGP5GBY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0010074044112116098,,2019-05-16,
2AGP5J1Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0009919150033965707,,2019-05-16,
2AGP6TYY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0007370153907686472,,2019-05-16,
2AGP6UBY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0033709718845784664,,2019-05-16,
2AGP9W7Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.09391368925571442,,2019-05-16,
2AGPHHKY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0014251297106966376,,2019-06-01,
2AGPHHTY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0023906640708446503,,2019-06-01,
2AGPJAVY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.000386769010219723,,2019-05-27,
2AGPJBGY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0004641794366762042,,2019-05-27,
2AGPJBNY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0003859055577777326,,2019-05-27,
2AGPJE5Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0013853097334504128,,2019-05-16,
2AGPJGPY,1,0,,2021-02-22,,Missed,0,0,0,0,1,0,0.03376109153032303,,2019-05-16,
2AGPJH1Y,1,0,,2024-08-11,,Missed,0,0,0,0,1,0,0.04941151663661003,,2019-05-16,
2AGPJHAY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0012184602674096823,,2019-08-13,
2AGPJHXY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.00045413602492772043,,2019-05-27,
2AGPJL8Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.002854321151971817,,2019-05-27,
2AGPJLWY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0009065502090379596,,2019-08-13,
2AGPJMRY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0016357921995222569,,2019-08-13,
2AGPJP0Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0004591264296323061,,2019-05-27,
2AGPK9HY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.003352460451424122,,2019-08-14,
2AGPKA3Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.017598509788513184,,2019-08-14,
2AGPKALY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0015538801671937108,,2019-05-16,
2AGPKARY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.001626794459298253,,2019-05-16,
2AGPKB2Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0006378997350111604,,2019-05-27,
2AGPKTUY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0016811032546684146,,2019-05-16,
2AGPKVGY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0007034450536593795,,2019-05-16,
2AGPKWNY,1,0,,2023-10-29,,Missed,0,0,0,0,1,0,0.04390259459614754,,2019-05-16,
2AGPKX4Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.01696726307272911,,2019-05-16,
2AGPL2YY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0012312831822782755,,2019-05-16,
2AGPL4UY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0007266156026162207,,2019-05-16,
2AGPL4ZY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0014449029695242643,,2019-05-27,
2AGPLSSY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0008087927708402276,,2019-05-16,
2AGPMDVY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0004925014800392091,,2019-05-27,
2AGPMEPY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0007192156044766307,,2019-05-16,
2AGPMGGY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.004383339546620846,,2019-05-16,
2AGPMM3Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0006036204867996275,,2019-05-27,
2AGPMN9Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0005956171080470085,,2019-05-27,
2AGPMRDY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0012656775070354342,,2019-05-27,
2AGPMY1Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0010004700161516666,,2019-05-16,
2AGPN6PY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.03882472589612007,,2019-05-16,
2AGPPJAY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.000677114468999207,,2019-05-16,
2AGPPLLY,1,0,,2023-11-29,,Missed,0,0,0,0,1,0,0.1632588803768158,,2019-05-16,
2AGPR6YY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0009309469605796039,,2019-05-16,
2AGPR7RY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0012516952119767666,,2019-05-16,
2AGPR8EY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0008979529957287014,,2019-05-16,
2AGPRL8Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0006843626615591347,,2019-05-27,
