serial_number,hdd,manufacturer,model,threshold,actual_failure_date,first_alarm_date,lead_time_days,alarm_predicted_score
ZCH06TH0,ST12000NM0007,Seagate (ST12000NM0007),XGB,0.11,2019-02-19,2019-02-19,0.0,0.5011113882064819
ZCH06WWK,ST12000NM0007,Seagate (ST12000NM0007),XGB,0.11,2019-07-16,2019-07-02,14.0,0.3246826231479645
ZCH06ZR3,ST12000NM0007,Seagate (ST12000NM0007),XGB,0.11,2019-02-18,2019-02-09,9.0,0.19664256274700165
ZCH070MN,ST12000NM0007,Seagate (ST12000NM0007),XGB,0.11,2018-09-17,2018-09-16,1.0,0.3695242404937744
ZCH070VR,ST12000NM0007,Seagate (ST12000NM0007),XGB,0.11,2019-08-01,2019-07-31,1.0,0.7100942730903625
ZCH070ZQ,ST12000NM0007,Seagate (ST12000NM0007),XGB,0.11,2018-10-02,2018-10-02,0.0,0.687731921672821
ZCH072P4,ST12000NM0007,Seagate (ST12000NM0007),XGB,0.11,2018-06-02,2018-05-03,30.0,0.14221827685832977
ZCH073Z9,ST12000NM0007,Seagate (ST12000NM0007),XGB,0.11,2018-12-17,2018-12-16,1.0,0.1304636001586914
ZCH077N9,ST12000NM0007,Seagate (ST12000NM0007),XGB,0.11,2019-06-12,2019-06-09,3.0,0.5452643036842346
ZCH07G29,ST12000NM0007,Seagate (ST12000NM0007),XGB,0.11,2020-09-03,2020-09-02,1.0,0.2665564715862274
ZCH07HM0,ST12000NM0007,Seagate (ST12000NM0007),XGB,0.11,2019-11-02,2019-10-09,24.0,0.11188775300979614
ZCH07JAG,ST12000NM0007,Seagate (ST12000NM0007),XGB,0.11,2018-01-20,2017-12-25,26.0,0.15974466502666473
ZCH07ZZC,ST12000NM0007,Seagate (ST12000NM0007),XGB,0.11,2019-11-19,2019-11-19,0.0,0.12082947045564651
ZCH08034,ST12000NM0007,Seagate (ST12000NM0007),XGB,0.11,2020-05-29,2020-05-27,2.0,0.16037452220916748
ZCH089YR,ST12000NM0007,Seagate (ST12000NM0007),XGB,0.11,2019-08-05,2019-07-31,5.0,0.11449003964662552
ZCH08B2G,ST12000NM0007,Seagate (ST12000NM0007),XGB,0.11,2019-09-28,2019-09-27,1.0,0.15435709059238434
ZCH09753,ST12000NM0007,Seagate (ST12000NM0007),XGB,0.11,2019-08-23,2019-08-23,0.0,0.5666596293449402
ZCH09PRH,ST12000NM0007,Seagate (ST12000NM0007),XGB,0.11,2018-11-11,2018-11-11,0.0,0.22690966725349426
ZCH0BCWV,ST12000NM0007,Seagate (ST12000NM0007),XGB,0.11,2018-04-25,2018-04-25,0.0,0.49063360691070557
ZCH0BJ46,ST12000NM0007,Seagate (ST12000NM0007),XGB,0.11,2019-06-25,2019-06-25,0.0,0.3687823414802551
ZCH0CZBH,ST12000NM0007,Seagate (ST12000NM0007),XGB,0.11,2019-05-21,2019-05-07,14.0,0.1274123340845108
ZCH0D1PC,ST12000NM0007,Seagate (ST12000NM0007),XGB,0.11,2019-02-09,2019-02-08,1.0,0.11163348704576492
ZCH0DG3H,ST12000NM0007,Seagate (ST12000NM0007),XGB,0.11,2019-07-26,2019-07-14,12.0,0.2817440629005432
ZCH0E7WL,ST12000NM0007,Seagate (ST12000NM0007),XGB,0.11,2019-05-10,2019-04-17,23.0,0.41107726097106934
ZJV005J2,ST12000NM0007,Seagate (ST12000NM0007),XGB,0.11,2021-01-21,2021-01-16,5.0,0.12535907328128815
ZJV00D2C,ST12000NM0007,Seagate (ST12000NM0007),XGB,0.11,2020-11-03,2020-10-21,13.0,0.276037335395813
ZJV00FBJ,ST12000NM0007,Seagate (ST12000NM0007),XGB,0.11,2019-05-24,2019-05-24,0.0,0.3344303071498871
ZJV00FQZ,ST12000NM0007,Seagate (ST12000NM0007),XGB,0.11,2019-07-25,2019-07-11,14.0,0.13256685435771942
ZJV00H1Q,ST12000NM0007,Seagate (ST12000NM0007),XGB,0.11,2018-12-29,2018-12-29,0.0,0.11233896762132645
ZJV03W5T,ST12000NM0007,Seagate (ST12000NM0007),XGB,0.11,2019-09-17,2019-09-13,4.0,0.5688169002532959
ZJV0BMW1,ST12000NM0007,Seagate (ST12000NM0007),XGB,0.11,2019-11-25,2019-11-25,0.0,0.1987927109003067
ZJV0RYMQ,ST12000NM0007,Seagate (ST12000NM0007),XGB,0.11,2023-02-13,2023-02-13,0.0,0.49625810980796814
ZJV19EWJ,ST12000NM0007,Seagate (ST12000NM0007),XGB,0.11,2019-07-19,2019-07-14,5.0,0.20264852046966553
ZJV19Q8F,ST12000NM0007,Seagate (ST12000NM0007),XGB,0.11,2024-12-21,2024-12-21,0.0,0.44864922761917114
ZJV1KYJ9,ST12000NM0007,Seagate (ST12000NM0007),XGB,0.11,2020-01-30,2020-01-23,7.0,0.5041258931159973
ZJV2ENN5,ST12000NM0007,Seagate (ST12000NM0007),XGB,0.11,2019-03-18,2019-03-14,4.0,0.7665997743606567
ZJV2FPYG,ST12000NM0007,Seagate (ST12000NM0007),XGB,0.11,2019-07-07,2019-06-23,14.0,0.3852517902851105
ZJV39MN7,ST12000NM0007,Seagate (ST12000NM0007),XGB,0.11,2022-08-26,2022-08-20,6.0,0.16802620887756348
ZJV3A0BA,ST12000NM0007,Seagate (ST12000NM0007),XGB,0.11,2021-03-25,2021-03-20,5.0,0.2805713415145874
ZJV3AFSA,ST12000NM0007,Seagate (ST12000NM0007),XGB,0.11,2023-08-08,2023-08-07,1.0,0.14901012182235718
ZJV3AVA4,ST12000NM0007,Seagate (ST12000NM0007),XGB,0.11,2024-03-17,2024-03-17,0.0,0.5483139157295227
ZJV3BF8Z,ST12000NM0007,Seagate (ST12000NM0007),XGB,0.11,2022-10-28,2022-10-27,1.0,0.13755430281162262
ZJV3C4KD,ST12000NM0007,Seagate (ST12000NM0007),XGB,0.11,2022-02-11,2022-01-28,14.0,0.22001682221889496
ZJV3C6PV,ST12000NM0007,Seagate (ST12000NM0007),XGB,0.11,2021-05-19,2021-05-07,12.0,0.14001290500164032
ZJV3C8BB,ST12000NM0007,Seagate (ST12000NM0007),XGB,0.11,2022-07-02,2022-07-02,0.0,0.13258111476898193
ZJV3D049,ST12000NM0007,Seagate (ST12000NM0007),XGB,0.11,2023-05-31,2023-05-26,5.0,0.13981713354587555
ZJV3D9GE,ST12000NM0007,Seagate (ST12000NM0007),XGB,0.11,2023-11-28,2023-11-24,4.0,0.24024660885334015
ZJV4K6RZ,ST12000NM0007,Seagate (ST12000NM0007),XGB,0.11,2023-12-04,2023-11-28,6.0,0.1897059679031372
ZJV4LLAA,ST12000NM0007,Seagate (ST12000NM0007),XGB,0.11,2025-07-17,2025-07-14,3.0,0.11475561559200287
ZJV4M12C,ST12000NM0007,Seagate (ST12000NM0007),XGB,0.11,2020-03-08,2020-02-09,28.0,0.21629542112350464
ZCH065DF,ST12000NM0007,Seagate (ST12000NM0007),LSTM,0.3,2018-08-02,2018-08-02,0.0,0.31224700808525085
ZCH06WWK,ST12000NM0007,Seagate (ST12000NM0007),LSTM,0.3,2019-07-16,2019-07-04,12.0,0.32237526774406433
ZCH06ZR3,ST12000NM0007,Seagate (ST12000NM0007),LSTM,0.3,2019-02-18,2019-02-16,2.0,0.3640274405479431
ZCH070VR,ST12000NM0007,Seagate (ST12000NM0007),LSTM,0.3,2019-08-01,2019-07-31,1.0,0.39610594511032104
ZCH072P4,ST12000NM0007,Seagate (ST12000NM0007),LSTM,0.3,2018-06-02,2018-05-08,25.0,0.30301132798194885
ZCH077N9,ST12000NM0007,Seagate (ST12000NM0007),LSTM,0.3,2019-06-12,2019-06-10,2.0,0.39635512232780457
ZCH078J5,ST12000NM0007,Seagate (ST12000NM0007),LSTM,0.3,2020-11-23,2020-11-18,5.0,0.3040253221988678
ZCH078YM,ST12000NM0007,Seagate (ST12000NM0007),LSTM,0.3,2019-09-13,2019-08-23,21.0,0.3378966748714447
ZCH07BWD,ST12000NM0007,Seagate (ST12000NM0007),LSTM,0.3,2019-12-13,2019-11-21,22.0,0.3205103874206543
ZCH07G29,ST12000NM0007,Seagate (ST12000NM0007),LSTM,0.3,2020-09-03,2020-08-20,14.0,0.37875109910964966
ZCH07HM0,ST12000NM0007,Seagate (ST12000NM0007),LSTM,0.3,2019-11-02,2019-10-09,24.0,0.3102995753288269
ZCH07JAG,ST12000NM0007,Seagate (ST12000NM0007),LSTM,0.3,2018-01-20,2017-12-30,21.0,0.3400426208972931
ZCH080S1,ST12000NM0007,Seagate (ST12000NM0007),LSTM,0.3,2019-06-12,2019-06-09,3.0,0.30579042434692383
ZCH089YR,ST12000NM0007,Seagate (ST12000NM0007),LSTM,0.3,2019-08-05,2019-08-02,3.0,0.34281042218208313
ZCH08B2G,ST12000NM0007,Seagate (ST12000NM0007),LSTM,0.3,2019-09-28,2019-09-08,20.0,0.34074434638023376
ZCH0A87H,ST12000NM0007,Seagate (ST12000NM0007),LSTM,0.3,2019-10-30,2019-10-30,0.0,0.3169565200805664
ZCH0BJ46,ST12000NM0007,Seagate (ST12000NM0007),LSTM,0.3,2019-06-25,2019-06-18,7.0,0.30675750970840454
ZCH0DG3H,ST12000NM0007,Seagate (ST12000NM0007),LSTM,0.3,2019-07-26,2019-07-26,0.0,0.30121898651123047
ZCH0E7WL,ST12000NM0007,Seagate (ST12000NM0007),LSTM,0.3,2019-05-10,2019-04-19,21.0,0.3956497013568878
ZJV00D2C,ST12000NM0007,Seagate (ST12000NM0007),LSTM,0.3,2020-11-03,2020-10-25,9.0,0.3130483031272888
ZJV00FQZ,ST12000NM0007,Seagate (ST12000NM0007),LSTM,0.3,2019-07-25,2019-07-15,10.0,0.34007030725479126
ZJV03SVX,ST12000NM0007,Seagate (ST12000NM0007),LSTM,0.3,2019-08-07,2019-08-05,2.0,0.30476245284080505
ZJV03W5T,ST12000NM0007,Seagate (ST12000NM0007),LSTM,0.3,2019-09-17,2019-09-09,8.0,0.3261863887310028
ZJV04HXS,ST12000NM0007,Seagate (ST12000NM0007),LSTM,0.3,2019-11-17,2019-10-25,23.0,0.3369913399219513
ZJV19EWJ,ST12000NM0007,Seagate (ST12000NM0007),LSTM,0.3,2019-07-19,2019-07-16,3.0,0.30750319361686707
ZJV1KYJ9,ST12000NM0007,Seagate (ST12000NM0007),LSTM,0.3,2020-01-30,2020-01-24,6.0,0.3379264175891876
ZJV2ENN5,ST12000NM0007,Seagate (ST12000NM0007),LSTM,0.3,2019-03-18,2019-03-15,3.0,0.3508906364440918
ZJV2FPYG,ST12000NM0007,Seagate (ST12000NM0007),LSTM,0.3,2019-07-07,2019-06-17,20.0,0.33853864669799805
ZJV3A0BA,ST12000NM0007,Seagate (ST12000NM0007),LSTM,0.3,2021-03-25,2021-03-13,12.0,0.3754079341888428
ZJV3AFSA,ST12000NM0007,Seagate (ST12000NM0007),LSTM,0.3,2023-08-08,2023-08-08,0.0,0.3803443908691406
ZJV3BF8Z,ST12000NM0007,Seagate (ST12000NM0007),LSTM,0.3,2022-10-28,2022-10-28,0.0,0.37269291281700134
ZJV3CSA2,ST12000NM0007,Seagate (ST12000NM0007),LSTM,0.3,2021-01-12,2021-01-11,1.0,0.3568681478500366
ZJV3D049,ST12000NM0007,Seagate (ST12000NM0007),LSTM,0.3,2023-05-31,2023-05-26,5.0,0.3088316321372986
ZJV4K6RZ,ST12000NM0007,Seagate (ST12000NM0007),LSTM,0.3,2023-12-04,2023-11-30,4.0,0.31308767199516296
ZJV4LE7S,ST12000NM0007,Seagate (ST12000NM0007),LSTM,0.3,2023-05-22,2023-05-02,20.0,0.30021169781684875
ZJV4M12C,ST12000NM0007,Seagate (ST12000NM0007),LSTM,0.3,2020-03-08,2020-02-09,28.0,0.35049381852149963
ZCH06TH0,ST12000NM0007,Seagate (ST12000NM0007),GRU,0.32,2019-02-19,2019-02-19,0.0,0.49590370059013367
ZCH06WWK,ST12000NM0007,Seagate (ST12000NM0007),GRU,0.32,2019-07-16,2019-07-03,13.0,0.3717493712902069
ZCH06ZR3,ST12000NM0007,Seagate (ST12000NM0007),GRU,0.32,2019-02-18,2019-02-16,2.0,0.4458807706832886
ZCH070MN,ST12000NM0007,Seagate (ST12000NM0007),GRU,0.32,2018-09-17,2018-09-16,1.0,0.41473260521888733
ZCH070VR,ST12000NM0007,Seagate (ST12000NM0007),GRU,0.32,2019-08-01,2019-07-29,3.0,0.35996145009994507
ZCH070ZQ,ST12000NM0007,Seagate (ST12000NM0007),GRU,0.32,2018-10-02,2018-10-02,0.0,0.37085938453674316
ZCH073Z9,ST12000NM0007,Seagate (ST12000NM0007),GRU,0.32,2018-12-17,2018-12-17,0.0,0.34088951349258423
ZCH077N9,ST12000NM0007,Seagate (ST12000NM0007),GRU,0.32,2019-06-12,2019-06-09,3.0,0.5011377930641174
ZCH078J5,ST12000NM0007,Seagate (ST12000NM0007),GRU,0.32,2020-11-23,2020-11-16,7.0,0.37911927700042725
ZCH078YM,ST12000NM0007,Seagate (ST12000NM0007),GRU,0.32,2019-09-13,2019-08-21,23.0,0.3530372381210327
ZCH07BWD,ST12000NM0007,Seagate (ST12000NM0007),GRU,0.32,2019-12-13,2019-11-22,21.0,0.4017889201641083
ZCH07G29,ST12000NM0007,Seagate (ST12000NM0007),GRU,0.32,2020-09-03,2020-08-18,16.0,0.32536545395851135
ZCH07HM0,ST12000NM0007,Seagate (ST12000NM0007),GRU,0.32,2019-11-02,2019-10-08,25.0,0.35884347558021545
ZCH07JAG,ST12000NM0007,Seagate (ST12000NM0007),GRU,0.32,2018-01-20,2017-12-29,22.0,0.3378782868385315
ZCH07NLF,ST12000NM0007,Seagate (ST12000NM0007),GRU,0.32,2020-07-10,2020-07-04,6.0,0.32297855615615845
ZCH07QC8,ST12000NM0007,Seagate (ST12000NM0007),GRU,0.32,2020-01-09,2020-01-08,1.0,0.4212706387042999
ZCH080S1,ST12000NM0007,Seagate (ST12000NM0007),GRU,0.32,2019-06-12,2019-06-07,5.0,0.3661852478981018
ZCH089YR,ST12000NM0007,Seagate (ST12000NM0007),GRU,0.32,2019-08-05,2019-08-01,4.0,0.3319302201271057
ZCH08B2G,ST12000NM0007,Seagate (ST12000NM0007),GRU,0.32,2019-09-28,2019-09-06,22.0,0.35124120116233826
ZCH09PRH,ST12000NM0007,Seagate (ST12000NM0007),GRU,0.32,2018-11-11,2018-11-11,0.0,0.40033090114593506
ZCH0APGY,ST12000NM0007,Seagate (ST12000NM0007),GRU,0.32,2021-04-04,2021-04-03,1.0,0.37416547536849976
ZCH0BCWV,ST12000NM0007,Seagate (ST12000NM0007),GRU,0.32,2018-04-25,2018-04-25,0.0,0.482898086309433
ZCH0BJ46,ST12000NM0007,Seagate (ST12000NM0007),GRU,0.32,2019-06-25,2019-06-16,9.0,0.3213502764701843
ZCH0BTJN,ST12000NM0007,Seagate (ST12000NM0007),GRU,0.32,2019-09-27,2019-09-27,0.0,0.35172733664512634
ZCH0DG3H,ST12000NM0007,Seagate (ST12000NM0007),GRU,0.32,2019-07-26,2019-07-25,1.0,0.3703306317329407
ZCH0E7WL,ST12000NM0007,Seagate (ST12000NM0007),GRU,0.32,2019-05-10,2019-04-17,23.0,0.326589435338974
ZJV00D2C,ST12000NM0007,Seagate (ST12000NM0007),GRU,0.32,2020-11-03,2020-10-23,11.0,0.3633570671081543
ZJV00F20,ST12000NM0007,Seagate (ST12000NM0007),GRU,0.32,2019-11-20,2019-11-20,0.0,0.47096937894821167
ZJV00FQZ,ST12000NM0007,Seagate (ST12000NM0007),GRU,0.32,2019-07-25,2019-07-17,8.0,0.3352850675582886
ZJV00H1Q,ST12000NM0007,Seagate (ST12000NM0007),GRU,0.32,2018-12-29,2018-12-29,0.0,0.39149928092956543
ZJV02D6G,ST12000NM0007,Seagate (ST12000NM0007),GRU,0.32,2019-09-17,2019-09-15,2.0,0.34711870551109314
ZJV03SVX,ST12000NM0007,Seagate (ST12000NM0007),GRU,0.32,2019-08-07,2019-08-07,0.0,0.32365578413009644
ZJV03W5T,ST12000NM0007,Seagate (ST12000NM0007),GRU,0.32,2019-09-17,2019-09-13,4.0,0.46431756019592285
ZJV04HXS,ST12000NM0007,Seagate (ST12000NM0007),GRU,0.32,2019-11-17,2019-10-26,22.0,0.3381303548812866
ZJV19EWJ,ST12000NM0007,Seagate (ST12000NM0007),GRU,0.32,2019-07-19,2019-07-15,4.0,0.3534267544746399
ZJV1KYJ9,ST12000NM0007,Seagate (ST12000NM0007),GRU,0.32,2020-01-30,2020-01-23,7.0,0.39603424072265625
ZJV2ECQW,ST12000NM0007,Seagate (ST12000NM0007),GRU,0.32,2019-07-13,2019-07-13,0.0,0.3541717827320099
ZJV2ENN5,ST12000NM0007,Seagate (ST12000NM0007),GRU,0.32,2019-03-18,2019-03-14,4.0,0.44929710030555725
ZJV2FPYG,ST12000NM0007,Seagate (ST12000NM0007),GRU,0.32,2019-07-07,2019-06-15,22.0,0.3757171034812927
ZJV3A0BA,ST12000NM0007,Seagate (ST12000NM0007),GRU,0.32,2021-03-25,2021-03-13,12.0,0.41000741720199585
ZJV3AFSA,ST12000NM0007,Seagate (ST12000NM0007),GRU,0.32,2023-08-08,2023-08-07,1.0,0.3999873995780945
ZJV3BF8Z,ST12000NM0007,Seagate (ST12000NM0007),GRU,0.32,2022-10-28,2022-10-27,1.0,0.4047916829586029
ZJV3C4KD,ST12000NM0007,Seagate (ST12000NM0007),GRU,0.32,2022-02-11,2022-01-28,14.0,0.3897504508495331
ZJV3C8BB,ST12000NM0007,Seagate (ST12000NM0007),GRU,0.32,2022-07-02,2022-07-02,0.0,0.3536137342453003
ZJV3CG0J,ST12000NM0007,Seagate (ST12000NM0007),GRU,0.32,2025-03-13,2025-03-05,8.0,0.33627820014953613
ZJV3CSA2,ST12000NM0007,Seagate (ST12000NM0007),GRU,0.32,2021-01-12,2021-01-11,1.0,0.39904114603996277
ZJV3D049,ST12000NM0007,Seagate (ST12000NM0007),GRU,0.32,2023-05-31,2023-05-31,0.0,0.33272507786750793
ZJV3D9GE,ST12000NM0007,Seagate (ST12000NM0007),GRU,0.32,2023-11-28,2023-11-24,4.0,0.41490674018859863
ZJV4K3F6,ST12000NM0007,Seagate (ST12000NM0007),GRU,0.32,2021-05-29,2021-05-09,20.0,0.44399458169937134
ZJV4K6RZ,ST12000NM0007,Seagate (ST12000NM0007),GRU,0.32,2023-12-04,2023-11-30,4.0,0.4017946720123291
ZJV4LE7S,ST12000NM0007,Seagate (ST12000NM0007),GRU,0.32,2023-05-22,2023-05-04,18.0,0.33226311206817627
ZJV4LLAA,ST12000NM0007,Seagate (ST12000NM0007),GRU,0.32,2025-07-17,2025-07-04,13.0,0.4084589183330536
ZJV4M12C,ST12000NM0007,Seagate (ST12000NM0007),GRU,0.32,2020-03-08,2020-02-08,29.0,0.4414324462413788
2AGMHWAY,HGST_20HUH721212ALN604,HGST (20HUH721212ALN604),LGBM,0.99,2023-09-22,2023-09-13,9.0,0.9999993672390599
2AGMKV4Y,HGST_20HUH721212ALN604,HGST (20HUH721212ALN604),LGBM,0.99,2026-01-28,2026-01-18,10.0,1.0
2AGMLSZY,HGST_20HUH721212ALN604,HGST (20HUH721212ALN604),LGBM,0.99,2020-07-30,2020-07-23,7.0,0.9999896914968729
2AGMLZLY,HGST_20HUH721212ALN604,HGST (20HUH721212ALN604),LGBM,0.99,2026-02-11,2026-02-11,0.0,0.9999998637572406
2AGMND4Y,HGST_20HUH721212ALN604,HGST (20HUH721212ALN604),LGBM,0.99,2025-10-27,2025-10-14,13.0,0.9999999999999938
2AGMNJKY,HGST_20HUH721212ALN604,HGST (20HUH721212ALN604),LGBM,0.99,2025-09-29,2025-09-15,14.0,0.9999936056993834
2AGMPP4Y,HGST_20HUH721212ALN604,HGST (20HUH721212ALN604),LGBM,0.99,2025-09-23,2025-08-27,27.0,0.9999998624028877
AAG5YYKH,HGST_20HUH721212ALN604,HGST (20HUH721212ALN604),LGBM,0.99,2025-09-30,2025-09-03,27.0,0.9983253204234089
AAG5YZZH,HGST_20HUH721212ALN604,HGST (20HUH721212ALN604),LGBM,0.99,2025-07-30,2025-07-08,22.0,0.9993999910044077
AAG61LHH,HGST_20HUH721212ALN604,HGST (20HUH721212ALN604),LGBM,0.99,2024-05-17,2024-05-09,8.0,0.9998845047923023
